league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ITA-Serie B,2425,Bari,Ahmad Benali,LBY,MF,32.0,1992.0,34,33,2805,31.2,1,2,3,1,0,0,14,0,0.03,0.06,0.1,0.03,0.1
ITA-Serie B,2425,Bari,Alessandro Tripaldelli,ITA,DF,25.0,1999.0,8,0,161,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Bari,Andrea Favilli,ITA,FW,27.0,1997.0,22,7,784,8.7,5,1,6,4,1,1,6,0,0.57,0.11,0.69,0.46,0.57
ITA-Serie B,2425,Bari,Andrea Oliveri,ITA,MF,21.0,2003.0,29,20,1745,19.4,0,2,2,0,0,0,3,0,0.0,0.1,0.1,0.0,0.1
ITA-Serie B,2425,Bari,Andrija Novakovich,USA,FW,27.0,1996.0,28,10,1151,12.8,3,2,5,3,0,0,3,0,0.23,0.16,0.39,0.23,0.39
ITA-Serie B,2425,Bari,Boris Radunović,SRB,GK,28.0,1996.0,37,37,3311,36.8,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Bari,Cesar Falletti,URU,"FW,MF",31.0,1992.0,27,19,1531,17.0,1,2,3,0,1,2,3,0,0.06,0.12,0.18,0.0,0.12
ITA-Serie B,2425,Bari,Coli Saco,MLI,MF,22.0,2002.0,11,0,160,1.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Bari,Costantino Favasuli,ITA,"MF,DF",20.0,2004.0,29,19,1643,18.3,1,1,2,1,0,0,7,0,0.05,0.05,0.11,0.05,0.11
ITA-Serie B,2425,Bari,Francesco Vicari,ITA,DF,29.0,1994.0,25,22,1960,21.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Bari,Gastón Pereiro,URU,"MF,FW",29.0,1995.0,9,3,276,3.1,1,0,1,1,0,0,2,0,0.33,0.0,0.33,0.33,0.33
ITA-Serie B,2425,Bari,Giacomo Manzari,ITA,MF,23.0,2000.0,11,2,341,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Bari,Giacomo Ricci,ITA,"DF,MF",27.0,1996.0,2,0,77,0.9,1,0,1,1,0,0,0,0,1.17,0.0,1.17,1.17,1.17
